benchmark_run_id,chunker,embedding,vector_store,retriever,reranker,evaluator,query_id,query,category,top_ids,top_scores,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,ndcg_at_10,precision_at_5,latency_ms
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,1,customer has multi pnr and received voucher email only for one pnr,voucher,163|75|124|29|195|160|159|7|173|30,0.2961|0.2634|0.2486|0.2469|0.2469|0.2441|0.2248|0.1897|0.1897|0.1781,1.0,1.0,1.0,1.0,1.0,1.0,0.4,21.9737
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,2,what is the difference between open ticket and voucher,voucher,119|126|120|147|125|113|101|138|132|154,0.5046|0.4289|0.3848|0.3585|0.3126|0.2815|0.2798|0.2728|0.2646|0.2485,1.0,1.0,1.0,1.0,1.0,0.9108532513310018,0.6,21.2661
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,3,what is vi order,pnr,27|193|88|60|25|191|2|168|147|126,0.5371|0.5371|0.5200|0.4071|0.4023|0.4023|0.3946|0.3946|0.3317|0.3248,1.0,1.0,1.0,1.0,1.0,0.9971876401972103,1.0,20.7159
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,4,how to display an old emd record,voucher,125|136|164|41|207|131|36|202|28|194,0.4237|0.2681|0.2529|0.2444|0.2444|0.2371|0.2301|0.2301|0.2255|0.2255,0.0,1.0,1.0,1.0,0.3333333333333333,0.5249810332008933,0.2,21.3362
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,5,what is sc script - rir message for manual and auto handling in travelport,pnr,120|132|10|176|160|40|206|58|119|115,0.2998|0.2916|0.2875|0.2875|0.2608|0.2533|0.2533|0.2519|0.2243|0.2237,1.0,1.0,1.0,1.0,1.0,0.9963488021549354,1.0,22.0227
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,6,what are different scenarios for sc register errand flow,general,80|39|205|36|202|40|206|41|207|1,0.1605|0.1581|0.1581|0.1565|0.1565|0.1349|0.1349|0.1271|0.1271|0.1268,0.0,1.0,1.0,1.0,0.5,0.7606395682357036,0.8,21.1807
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,7,how to register errand templates for sc scenarios,general,36|202|39|205|68|41|207|18|184|43,0.3620|0.3620|0.2762|0.2762|0.2669|0.2641|0.2641|0.2613|0.2613|0.2429,1.0,1.0,1.0,1.0,1.0,0.9796825595768973,1.0,21.2171
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,8,how to handle tech alerts in schedule change,pnr,39|205|163|38|204|37|203|131|115|98,0.5693|0.5693|0.3692|0.3441|0.3441|0.3167|0.3167|0.3128|0.3012|0.2970,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.176
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,9,what should be done if the flight details do not match with the tech alert information,pnr,99|71|6|172|121|142|165|151|154|83,0.3273|0.2445|0.2171|0.2171|0.1979|0.1809|0.1683|0.1559|0.1388|0.1374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.4526
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,10,what should be indicated in the endorsement box if the tickets require reissue,rebooking,121|165|99|83|71|109|64|98|6|172,0.3392|0.2966|0.2712|0.2570|0.2393|0.2331|0.2092|0.1998|0.1906|0.1906,0.0,1.0,1.0,1.0,0.5,0.606790318176793,0.2,21.2512
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,11,what are airlines table (script) for invl reissue in gds systems,pnr,61|81|78|64|109|160|101|113|94|89,0.4151|0.3359|0.2950|0.2396|0.2256|0.2220|0.2209|0.2077|0.2071|0.1998,1.0,1.0,1.0,1.0,1.0,0.8948303255886798,0.8,21.7437
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,12,how to identify that the involuntary reissue was incorrect,rebooking,165|43|209|7|173|45|211|124|28|194,0.2963|0.2578|0.2578|0.2456|0.2456|0.2399|0.2399|0.2340|0.2165|0.2165,1.0,1.0,1.0,1.0,1.0,0.8240133229614812,0.6,21.1113
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,13,how to request for involuntary full or partially refund,refund,41|207|164|86|163|50|54|88|92|124,0.3251|0.3251|0.3233|0.2953|0.2773|0.2669|0.2486|0.2465|0.2458|0.2429,1.0,1.0,1.0,1.0,1.0,0.9619213015466895,0.8,21.4013
mod_0001,entity_heuristic_w6,jina_v3,Qdrant,dense_cosine,Amazon Rerank v1,overlap_relevance,14,how to inform passenger about the received schedule change,general,38|204|39|205|103|108|37|203|117|165,0.4429|0.4429|0.4270|0.4270|0.3206|0.2994|0.2857|0.2857|0.2702|0.2431,1.0,1.0,1.0,1.0,1.0,0.9860433320650158,1.0,21.4279
